產品型號,是否測最大最小分壓,分壓上限,分壓下限,是否只測四個方向,中心分壓標準,是否做靜態雜訊測試,靜態雜訊測試標準,是否做滑動雜音測試,滑動雜音上限(mV),是否檢查旋轉方向,是否進行複歸精度測試,複歸精度範圍上限,是否使用自動採樣環,採樣環內圈,採樣環外圈,是否進行對稱性測試,對稱性測試標準,是否作開關測試,備註,"本體顏色選項	",,,
"	Model.create(""FJR03K""",TRUE,100,60,TRUE,7,TRUE,2,TRUE,100,FALSE,TRUE,7,TRUE,55,95,TRUE,10,FALSE,不需測試制具,[5]),,,
"	Model.create(""FJR10K""",TRUE,96,40,TRUE,7.5,FALSE,100,TRUE,300,TRUE,TRUE,4,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2]),,,
"	Model.create(""FJH10K-S★(產線)""",TRUE,96,40,TRUE,7.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★(品保)""",TRUE,98,38,TRUE,8,FALSE,100,FALSE,300,TRUE,TRUE,4,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-0022A(產線)""",TRUE,86,34,TRUE,6.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,19度(直徑6.5mm)測試頭,[2]),,,
"	Model.create(""FJH10K-0022A(品保)""",TRUE,90,30,TRUE,7,FALSE,100,FALSE,300,TRUE,TRUE,4,TRUE,10,30,FALSE,10,TRUE,19度(直徑6.5mm)測試頭,[2]),,,
"	Model.create(""FJH10K-S★D(產線)""",TRUE,99,50,TRUE,7.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★D(品保)""",TRUE,99.6,49,TRUE,8,FALSE,100,FALSE,300,TRUE,TRUE,4,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★D1T(產線)""",TRUE,100,81,TRUE,17,FALSE,100,FALSE,300,TRUE,TRUE,5.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★D1T(品保)""",TRUE,100,80,TRUE,18,FALSE,100,FALSE,300,TRUE,TRUE,6,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★D2T(產線)""",TRUE,100,50,TRUE,17,FALSE,100,FALSE,300,TRUE,TRUE,4.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★D2T(品保)""",TRUE,100,49,TRUE,18,FALSE,100,FALSE,300,TRUE,TRUE,5,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★M(產線)""",TRUE,90,60,TRUE,4.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★M(品保)""",TRUE,94,56,TRUE,5,FALSE,100,FALSE,300,TRUE,TRUE,4,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-0014A/0019A/0023A(產線/品保)""",TRUE,90,60,TRUE,4.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[3]),,,
"	Model.create(""FJH10K-0015A/0020A/0024A(產線/品保)""",TRUE,90,60,TRUE,4.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[4]),,,
"	Model.create(""FJH10K-0016A/0021A/0025A(產線/品保)""",TRUE,90,60,TRUE,4.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[5]),,,
"	Model.create(""FJH10K-0011A(產線)""",TRUE,120,70,TRUE,7.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,不需要測試頭,[3]),,,
"	Model.create(""FJH10K-S★-R-A1(產線)""",TRUE,90,60,TRUE,4.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★-R-A1(品保)""",TRUE,94,56,TRUE,5,FALSE,100,FALSE,300,TRUE,TRUE,4,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create(""FJH10K-S★-R-D(產線)""",TRUE,90,60,TRUE,7.5,FALSE,100,FALSE,300,TRUE,TRUE,3.8,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
"	Model.create('FJH10K-S★-R-D(品保)'",TRUE,94,56,TRUE,8,FALSE,100,FALSE,300,TRUE,TRUE,4,TRUE,10,30,FALSE,10,TRUE,22度(直徑5.5mm)測試頭,[2,3,4,5])
